user_id,content_id,content_title,genre,total_duration_min,watched_duration_min,completion_rate_percent,watch_session_length_min,device_type,subscription_type,watch_date,watch_start_hour,region,rating_given,rewatch_flag
2040,538,Show_315,Comedy,122,63,51.64,44,Mobile,Premium,2024-01-01 00:00:00,22,Germany,3,0
3273,982,Show_296,Comedy,112,36,32.14,159,Tablet,Basic,2024-01-01 01:00:00,7,Germany,4,1
4629,453,Show_177,Animation,34,2,5.88,40,Mobile,Basic,2024-01-01 02:00:00,2,UK,2,0
3114,419,Show_489,Animation,126,22,17.46,129,Smart TV,Standard,2024-01-01 03:00:00,17,Germany,5,1
8364,450,Show_288,Animation,91,16,17.58,8,Smart TV,Free,2024-01-01 04:00:00,16,Australia,4,0
2677,995,Show_294,Romance,40,18,45.0,122,Mobile,Premium,2024-01-01 05:00:00,15,India,3,1
4094,585,Show_348,Action,122,69,56.56,201,Mobile,Basic,2024-01-01 06:00:00,21,UK,1,1
6873,115,Show_207,Comedy,141,100,70.92,29,Mobile,Standard,2024-01-01 07:00:00,12,Germany,2,1
3284,51,Show_215,Sci-Fi,94,30,31.91,99,Smart TV,Free,2024-01-01 08:00:00,3,India,1,0
6052,369,Show_344,Documentary,107,45,42.06,82,Tablet,Premium,2024-01-01 09:00:00,2,India,4,1
8062,914,Show_141,Romance,136,19,13.97,162,Smart TV,Standard,2024-01-01 10:00:00,10,Australia,5,1
2589,683,Show_85,Drama,119,87,73.11,179,Laptop,Free,2024-01-01 11:00:00,1,Australia,3,1
3520,780,Show_182,Documentary,123,34,27.64,16,Smart TV,Premium,2024-01-01 12:00:00,17,Canada,2,0
5648,515,Show_332,Romance,171,141,82.46,31,Laptop,Standard,2024-01-01 13:00:00,3,India,5,0
6729,210,Show_128,Animation,150,62,41.33,177,Laptop,Premium,2024-01-01 14:00:00,16,UK,2,0
1694,888,Show_269,Thriller,169,118,69.82,220,Smart TV,Free,2024-01-01 15:00:00,5,Australia,3,1
8807,998,Show_39,Thriller,72,22,30.56,67,Smart TV,Basic,2024-01-01 16:00:00,9,UK,3,0
4683,903,Show_23,Drama,21,20,95.24,59,Smart TV,Standard,2024-01-01 17:00:00,10,India,4,1
7704,993,Show_242,Sci-Fi,107,52,48.6,162,Tablet,Free,2024-01-01 18:00:00,4,Australia,2,0
8368,902,Show_366,Drama,177,111,62.71,86,Smart TV,Premium,2024-01-01 19:00:00,17,Canada,4,0
2971,850,Show_107,Action,57,36,63.16,18,Mobile,Free,2024-01-01 20:00:00,9,India,2,0
9055,813,Show_348,Documentary,149,73,48.99,60,Smart TV,Free,2024-01-01 21:00:00,8,UK,2,1
5218,895,Show_142,Drama,40,39,97.5,151,Laptop,Basic,2024-01-01 22:00:00,15,Canada,1,1
2868,854,Show_145,Drama,77,19,24.68,90,Tablet,Standard,2024-01-01 23:00:00,9,India,4,0
2671,627,Show_280,Romance,41,38,92.68,30,Tablet,Free,2024-01-02 00:00:00,9,Australia,2,0
2728,679,Show_245,Sci-Fi,108,70,64.81,203,Laptop,Basic,2024-01-02 01:00:00,3,Germany,2,1
8632,435,Show_442,Drama,68,57,83.82,96,Tablet,Basic,2024-01-02 02:00:00,20,India,3,1
7403,777,Show_191,Action,78,20,25.64,170,Tablet,Basic,2024-01-02 03:00:00,23,USA,1,1
7092,227,Show_290,Romance,34,9,26.47,201,Mobile,Premium,2024-01-02 04:00:00,13,UK,3,1
3142,663,Show_179,Sci-Fi,70,32,45.71,40,Mobile,Basic,2024-01-02 05:00:00,7,Australia,4,0
7184,268,Show_112,Sci-Fi,127,4,3.15,150,Tablet,Basic,2024-01-02 06:00:00,0,Australia,4,0
7010,116,Show_214,Comedy,74,50,67.57,189,Smart TV,Basic,2024-01-02 07:00:00,15,USA,2,0
1253,600,Show_138,Thriller,83,82,98.8,82,Tablet,Basic,2024-01-02 08:00:00,16,Germany,5,1
5102,830,Show_374,Documentary,150,5,3.33,116,Mobile,Standard,2024-01-02 09:00:00,9,Canada,3,1
4542,754,Show_200,Action,70,20,28.57,27,Tablet,Standard,2024-01-02 10:00:00,5,Australia,4,0
3775,360,Show_405,Thriller,154,87,56.49,123,Smart TV,Basic,2024-01-02 11:00:00,6,Canada,2,0
8678,329,Show_421,Romance,40,11,27.5,120,Smart TV,Free,2024-01-02 12:00:00,17,Canada,2,0
7212,845,Show_7,Romance,92,37,40.22,146,Mobile,Premium,2024-01-02 13:00:00,1,Canada,3,0
5637,40,Show_346,Action,37,22,59.46,228,Tablet,Free,2024-01-02 14:00:00,20,Germany,2,0
7034,182,Show_13,Sci-Fi,151,68,45.03,201,Mobile,Free,2024-01-02 15:00:00,8,India,1,1
9457,490,Show_80,Animation,108,93,86.11,26,Laptop,Basic,2024-01-02 16:00:00,4,USA,5,0
7476,209,Show_286,Drama,79,44,55.7,32,Mobile,Free,2024-01-02 17:00:00,7,UK,3,1
4148,903,Show_159,Action,33,13,39.39,47,Mobile,Standard,2024-01-02 18:00:00,23,USA,3,1
4359,273,Show_389,Romance,28,10,35.71,80,Mobile,Standard,2024-01-02 19:00:00,4,Australia,3,1
2004,119,Show_416,Thriller,109,9,8.26,22,Tablet,Premium,2024-01-02 20:00:00,23,USA,2,0
5717,382,Show_272,Documentary,72,7,9.72,104,Laptop,Standard,2024-01-02 21:00:00,14,UK,2,1
4271,946,Show_495,Action,149,68,45.64,227,Tablet,Standard,2024-01-02 22:00:00,7,India,3,0
1209,536,Show_201,Sci-Fi,103,19,18.45,209,Smart TV,Basic,2024-01-02 23:00:00,4,Australia,3,0
6539,258,Show_150,Documentary,111,106,95.5,216,Laptop,Standard,2024-01-03 00:00:00,4,India,1,1
1153,483,Show_448,Documentary,130,128,98.46,128,Mobile,Free,2024-01-03 01:00:00,19,Australia,4,0
4593,509,Show_428,Documentary,27,3,11.11,113,Mobile,Free,2024-01-03 02:00:00,16,UK,1,1
9606,92,Show_296,Comedy,54,21,38.89,40,Mobile,Standard,2024-01-03 03:00:00,8,India,3,0
2284,979,Show_493,Documentary,100,61,61.0,129,Tablet,Premium,2024-01-03 04:00:00,1,UK,2,0
4148,161,Show_293,Comedy,69,31,44.93,11,Smart TV,Premium,2024-01-03 05:00:00,0,UK,2,1
1768,149,Show_334,Drama,123,83,67.48,27,Laptop,Premium,2024-01-03 06:00:00,21,Germany,3,1
6607,117,Show_272,Drama,151,95,62.91,166,Laptop,Standard,2024-01-03 07:00:00,20,USA,4,0
4202,458,Show_43,Documentary,21,21,100.0,121,Tablet,Premium,2024-01-03 08:00:00,10,Australia,5,1
3787,565,Show_468,Sci-Fi,153,32,20.92,118,Smart TV,Standard,2024-01-03 09:00:00,14,Canada,5,1
3210,814,Show_319,Thriller,73,66,90.41,100,Laptop,Free,2024-01-03 10:00:00,0,Canada,1,0
8399,45,Show_492,Drama,125,59,47.2,25,Tablet,Premium,2024-01-03 11:00:00,6,India,4,1
7338,777,Show_15,Comedy,23,20,86.96,74,Smart TV,Premium,2024-01-03 12:00:00,22,UK,5,1
9733,998,Show_248,Sci-Fi,73,10,13.7,212,Smart TV,Premium,2024-01-03 13:00:00,18,USA,4,0
1358,774,Show_172,Documentary,165,130,78.79,231,Laptop,Free,2024-01-03 14:00:00,23,Australia,2,1
1849,819,Show_218,Sci-Fi,63,2,3.17,179,Laptop,Standard,2024-01-03 15:00:00,14,India,2,0
8498,234,Show_137,Sci-Fi,33,24,72.73,57,Smart TV,Free,2024-01-03 16:00:00,5,UK,4,1
5522,375,Show_321,Action,114,17,14.91,88,Laptop,Free,2024-01-03 17:00:00,19,Germany,3,0
3544,547,Show_227,Thriller,67,16,23.88,110,Tablet,Basic,2024-01-03 18:00:00,9,Canada,5,1
2831,850,Show_44,Documentary,34,16,47.06,45,Smart TV,Premium,2024-01-03 19:00:00,11,Canada,5,0
2472,949,Show_20,Thriller,59,46,77.97,207,Laptop,Standard,2024-01-03 20:00:00,12,Australia,2,0
1329,915,Show_493,Drama,101,39,38.61,164,Laptop,Standard,2024-01-03 21:00:00,14,Australia,1,0
6851,197,Show_119,Animation,130,107,82.31,132,Tablet,Basic,2024-01-03 22:00:00,18,Australia,5,1
8032,25,Show_454,Thriller,72,1,1.39,146,Laptop,Basic,2024-01-03 23:00:00,16,India,2,0
6266,395,Show_234,Romance,43,11,25.58,92,Laptop,Free,2024-01-04 00:00:00,12,Australia,2,0
5354,714,Show_458,Comedy,173,119,68.79,107,Laptop,Basic,2024-01-04 01:00:00,1,India,4,1
7435,785,Show_368,Drama,143,85,59.44,111,Mobile,Standard,2024-01-04 02:00:00,17,USA,4,0
8978,36,Show_379,Documentary,60,4,6.67,227,Tablet,Standard,2024-01-04 03:00:00,10,UK,4,0
5238,474,Show_417,Thriller,176,71,40.34,21,Tablet,Standard,2024-01-04 04:00:00,4,Canada,1,0
7112,223,Show_336,Comedy,34,26,76.47,29,Mobile,Free,2024-01-04 05:00:00,3,India,5,0
5722,864,Show_356,Documentary,64,47,73.44,68,Tablet,Premium,2024-01-04 06:00:00,1,UK,1,1
2388,789,Show_262,Documentary,84,50,59.52,205,Laptop,Premium,2024-01-04 07:00:00,15,Germany,1,1
5185,530,Show_83,Drama,108,12,11.11,90,Laptop,Free,2024-01-04 08:00:00,6,Australia,4,1
9911,188,Show_31,Romance,90,81,90.0,123,Laptop,Standard,2024-01-04 09:00:00,7,Canada,2,0
4235,402,Show_322,Comedy,28,1,3.57,180,Tablet,Standard,2024-01-04 10:00:00,7,Germany,3,1
5576,257,Show_274,Animation,107,75,70.09,39,Tablet,Free,2024-01-04 11:00:00,1,India,2,0
2100,654,Show_234,Animation,148,92,62.16,41,Smart TV,Free,2024-01-04 12:00:00,14,Australia,2,0
9864,136,Show_28,Animation,155,65,41.94,59,Mobile,Basic,2024-01-04 13:00:00,4,UK,2,1
9708,962,Show_252,Romance,82,47,57.32,149,Tablet,Free,2024-01-04 14:00:00,18,USA,2,0
3532,819,Show_324,Comedy,158,106,67.09,160,Smart TV,Premium,2024-01-04 15:00:00,9,UK,1,0
8770,591,Show_253,Action,100,71,71.0,133,Mobile,Free,2024-01-04 16:00:00,8,India,4,1
4670,444,Show_449,Documentary,155,130,83.87,57,Mobile,Standard,2024-01-04 17:00:00,21,USA,4,1
1781,418,Show_239,Action,52,42,80.77,77,Laptop,Standard,2024-01-04 18:00:00,19,USA,2,0
4523,292,Show_490,Comedy,142,24,16.9,187,Laptop,Standard,2024-01-04 19:00:00,7,Australia,3,0
7131,574,Show_370,Animation,24,4,16.67,117,Smart TV,Premium,2024-01-04 20:00:00,4,UK,5,0
5782,129,Show_464,Comedy,60,44,73.33,193,Smart TV,Premium,2024-01-04 21:00:00,18,India,2,0
5995,341,Show_429,Romance,47,19,40.43,17,Laptop,Basic,2024-01-04 22:00:00,12,Germany,2,1
2501,810,Show_314,Documentary,154,154,100.0,51,Laptop,Free,2024-01-04 23:00:00,13,Germany,3,1
4080,257,Show_175,Thriller,91,75,82.42,196,Mobile,Basic,2024-01-05 00:00:00,7,USA,1,0
1502,992,Show_194,Documentary,31,8,25.81,164,Mobile,Free,2024-01-05 01:00:00,15,Australia,2,1
4885,724,Show_180,Sci-Fi,52,50,96.15,32,Tablet,Free,2024-01-05 02:00:00,21,Germany,3,0
9009,566,Show_420,Comedy,67,43,64.18,57,Laptop,Premium,2024-01-05 03:00:00,4,USA,1,1
1623,687,Show_385,Drama,170,75,44.12,35,Mobile,Standard,2024-01-05 04:00:00,0,UK,1,1
2050,100,Show_295,Drama,81,67,82.72,12,Smart TV,Free,2024-01-05 05:00:00,18,Germany,2,0
8385,39,Show_215,Drama,56,12,21.43,76,Mobile,Premium,2024-01-05 06:00:00,22,Canada,1,1
7081,926,Show_474,Action,118,67,56.78,128,Laptop,Basic,2024-01-05 07:00:00,18,India,2,0
6484,263,Show_203,Thriller,123,106,86.18,102,Mobile,Standard,2024-01-05 08:00:00,16,Canada,2,1
4772,150,Show_250,Romance,54,27,50.0,91,Laptop,Basic,2024-01-05 09:00:00,23,UK,4,1
4916,633,Show_362,Thriller,120,113,94.17,78,Mobile,Basic,2024-01-05 10:00:00,22,Canada,5,0
5018,690,Show_257,Action,150,49,32.67,105,Tablet,Premium,2024-01-05 11:00:00,20,UK,5,1
2329,813,Show_75,Thriller,20,16,80.0,29,Tablet,Standard,2024-01-05 12:00:00,9,UK,4,1
5114,330,Show_344,Thriller,24,2,8.33,119,Smart TV,Free,2024-01-05 13:00:00,4,Australia,2,0
4367,120,Show_202,Documentary,161,60,37.27,37,Smart TV,Basic,2024-01-05 14:00:00,21,Canada,3,1
9095,584,Show_142,Drama,122,54,44.26,200,Laptop,Free,2024-01-05 15:00:00,6,USA,1,1
6141,219,Show_206,Comedy,46,30,65.22,139,Laptop,Standard,2024-01-05 16:00:00,15,UK,4,0
4951,906,Show_199,Drama,156,84,53.85,101,Laptop,Premium,2024-01-05 17:00:00,2,Canada,4,0
6084,910,Show_407,Thriller,34,28,82.35,198,Mobile,Premium,2024-01-05 18:00:00,11,USA,4,1
2573,814,Show_171,Comedy,109,25,22.94,116,Mobile,Premium,2024-01-05 19:00:00,13,India,4,1
3634,123,Show_406,Documentary,61,32,52.46,178,Mobile,Free,2024-01-05 20:00:00,19,USA,5,0
3768,244,Show_316,Romance,143,125,87.41,100,Smart TV,Free,2024-01-05 21:00:00,0,Canada,2,0
6302,886,Show_228,Sci-Fi,82,10,12.2,9,Laptop,Standard,2024-01-05 22:00:00,6,Canada,4,1
7250,587,Show_411,Comedy,115,60,52.17,125,Mobile,Free,2024-01-05 23:00:00,17,USA,4,1
2211,518,Show_440,Action,71,42,59.15,114,Smart TV,Premium,2024-01-06 00:00:00,22,USA,4,0
9967,21,Show_386,Drama,115,40,34.78,21,Tablet,Basic,2024-01-06 01:00:00,21,Germany,3,1
6955,190,Show_423,Documentary,151,77,50.99,80,Laptop,Basic,2024-01-06 02:00:00,3,UK,3,1
2160,225,Show_179,Documentary,170,105,61.76,56,Tablet,Basic,2024-01-06 03:00:00,15,Canada,1,0
6977,915,Show_366,Drama,162,118,72.84,144,Smart TV,Premium,2024-01-06 04:00:00,10,UK,2,1
8041,615,Show_275,Thriller,48,42,87.5,66,Laptop,Free,2024-01-06 05:00:00,17,UK,4,1
3383,856,Show_62,Thriller,55,47,85.45,167,Mobile,Basic,2024-01-06 06:00:00,22,India,1,0
6876,466,Show_327,Thriller,32,5,15.62,194,Smart TV,Free,2024-01-06 07:00:00,15,Canada,1,1
4540,99,Show_204,Animation,179,22,12.29,25,Tablet,Free,2024-01-06 08:00:00,6,UK,2,1
5635,830,Show_451,Documentary,90,57,63.33,89,Tablet,Premium,2024-01-06 09:00:00,20,India,3,0
2095,363,Show_447,Thriller,105,84,80.0,198,Tablet,Free,2024-01-06 10:00:00,2,Germany,2,0
6901,997,Show_367,Drama,47,43,91.49,185,Smart TV,Free,2024-01-06 11:00:00,4,UK,1,0
9215,83,Show_133,Animation,85,27,31.76,25,Smart TV,Premium,2024-01-06 12:00:00,17,UK,2,1
2079,693,Show_72,Comedy,64,41,64.06,147,Laptop,Standard,2024-01-06 13:00:00,16,Germany,3,1
9370,664,Show_78,Romance,81,80,98.77,207,Laptop,Basic,2024-01-06 14:00:00,0,Canada,1,1
3847,56,Show_189,Comedy,153,89,58.17,206,Tablet,Basic,2024-01-06 15:00:00,15,USA,2,1
2960,702,Show_356,Action,47,2,4.26,214,Smart TV,Free,2024-01-06 16:00:00,14,Germany,4,0
2473,930,Show_71,Animation,47,12,25.53,155,Laptop,Standard,2024-01-06 17:00:00,12,USA,4,0
5888,22,Show_263,Drama,127,40,31.5,132,Smart TV,Premium,2024-01-06 18:00:00,6,Canada,2,0
5979,580,Show_306,Animation,63,9,14.29,163,Mobile,Free,2024-01-06 19:00:00,2,USA,2,1
2212,185,Show_46,Comedy,103,76,73.79,58,Smart TV,Premium,2024-01-06 20:00:00,23,Australia,3,0
6697,522,Show_224,Drama,49,26,53.06,187,Tablet,Basic,2024-01-06 21:00:00,22,USA,1,1
1419,578,Show_328,Documentary,94,73,77.66,30,Smart TV,Premium,2024-01-06 22:00:00,12,Germany,2,1
4659,264,Show_250,Action,147,10,6.8,57,Tablet,Basic,2024-01-06 23:00:00,15,UK,1,1
6283,225,Show_76,Documentary,111,96,86.49,70,Laptop,Premium,2024-01-07 00:00:00,22,UK,4,0
2340,635,Show_74,Sci-Fi,148,20,13.51,171,Laptop,Premium,2024-01-07 01:00:00,0,India,1,1
6137,38,Show_142,Sci-Fi,140,39,27.86,11,Laptop,Standard,2024-01-07 02:00:00,0,Germany,5,1
6189,123,Show_73,Sci-Fi,46,2,4.35,220,Mobile,Premium,2024-01-07 03:00:00,15,Canada,3,0
2361,830,Show_102,Drama,140,65,46.43,171,Tablet,Free,2024-01-07 04:00:00,1,India,3,0
1591,156,Show_94,Comedy,135,124,91.85,36,Mobile,Standard,2024-01-07 05:00:00,17,UK,1,1
1526,906,Show_69,Drama,22,4,18.18,158,Mobile,Free,2024-01-07 06:00:00,20,UK,3,1
8855,301,Show_65,Documentary,122,24,19.67,91,Laptop,Premium,2024-01-07 07:00:00,22,India,1,1
2292,833,Show_193,Romance,174,155,89.08,210,Tablet,Premium,2024-01-07 08:00:00,17,Germany,1,0
2654,994,Show_441,Documentary,156,130,83.33,161,Smart TV,Standard,2024-01-07 09:00:00,4,Australia,4,0
1187,67,Show_62,Comedy,81,31,38.27,157,Smart TV,Basic,2024-01-07 10:00:00,4,USA,1,0
3758,905,Show_20,Documentary,70,57,81.43,188,Tablet,Standard,2024-01-07 11:00:00,7,Australia,3,0
9720,645,Show_241,Documentary,171,78,45.61,163,Smart TV,Basic,2024-01-07 12:00:00,8,Australia,5,0
9625,874,Show_203,Action,78,66,84.62,198,Laptop,Basic,2024-01-07 13:00:00,23,Australia,2,1
7431,394,Show_410,Thriller,137,29,21.17,6,Laptop,Premium,2024-01-07 14:00:00,13,Germany,3,1
7037,652,Show_300,Sci-Fi,179,15,8.38,219,Mobile,Free,2024-01-07 15:00:00,12,Australia,5,1
9494,594,Show_195,Comedy,115,12,10.43,179,Laptop,Standard,2024-01-07 16:00:00,17,USA,3,1
5182,570,Show_454,Animation,132,101,76.52,79,Smart TV,Standard,2024-01-07 17:00:00,3,Canada,5,0
7973,661,Show_62,Animation,81,28,34.57,33,Mobile,Premium,2024-01-07 18:00:00,17,India,3,0
1437,405,Show_107,Animation,71,24,33.8,131,Tablet,Premium,2024-01-07 19:00:00,21,Australia,2,1
1832,449,Show_125,Animation,31,21,67.74,238,Tablet,Standard,2024-01-07 20:00:00,19,Australia,4,1
9988,131,Show_301,Comedy,58,10,17.24,231,Mobile,Standard,2024-01-07 21:00:00,14,India,4,0
9751,69,Show_267,Sci-Fi,149,110,73.83,53,Laptop,Free,2024-01-07 22:00:00,6,India,2,1
9953,345,Show_456,Documentary,150,78,52.0,205,Mobile,Premium,2024-01-07 23:00:00,12,Canada,3,1
